# f (Hz)	sigma(f)	PI(f)
3.334375e+01	5.339836e-07	2.155263e-08
3.337500e+01	4.283407e-07	2.152573e-08
3.340625e+01	4.044720e-07	2.149889e-08
3.343750e+01	4.043770e-07	2.147210e-08
3.346875e+01	4.098016e-07	2.144537e-08
3.350000e+01	4.333349e-07	2.141870e-08
3.353125e+01	4.218927e-07	2.139209e-08
3.356250e+01	4.385548e-07	2.136673e-08
3.359375e+01	4.462526e-07	2.134686e-08
3.362500e+01	4.184788e-07	2.132702e-08
3.365625e+01	4.126240e-07	2.130722e-08
3.368750e+01	4.299116e-07	2.128745e-08
3.371875e+01	4.231741e-07	2.126772e-08
3.375000e+01	4.196509e-07	2.124803e-08
3.378125e+01	4.130913e-07	2.122837e-08
3.381250e+01	4.116520e-07	2.120876e-08
3.384375e+01	4.115802e-07	2.118917e-08
3.387500e+01	4.131517e-07	2.116962e-08
3.390625e+01	4.180048e-07	2.115011e-08
3.393750e+01	4.184457e-07	2.113064e-08
3.396875e+01	4.168997e-07	2.111120e-08
3.400000e+01	1.306273e-06	2.109180e-08
3.403125e+01	4.191997e-07	2.107243e-08
3.406250e+01	4.222168e-07	2.105309e-08
3.409375e+01	4.221405e-07	2.103380e-08
3.412500e+01	4.140559e-07	2.101454e-08
3.415625e+01	4.357052e-07	2.099531e-08
3.418750e+01	4.780046e-07	2.097612e-08
3.421875e+01	4.292838e-07	2.095696e-08
3.425000e+01	4.288674e-07	2.093784e-08
3.428125e+01	4.127312e-07	2.091875e-08
3.431250e+01	4.026750e-07	2.089970e-08
3.434375e+01	4.029286e-07	2.088069e-08
3.437500e+01	4.035260e-07	2.086170e-08
3.440625e+01	4.041399e-07	2.084892e-08
3.443750e+01	4.052998e-07	2.083631e-08
3.446875e+01	4.116217e-07	2.082371e-08
3.450000e+01	4.396370e-07	2.081113e-08
3.453125e+01	4.361840e-07	2.079858e-08
3.456250e+01	4.714949e-07	2.078604e-08
3.459375e+01	4.556894e-07	2.077352e-08
3.462500e+01	4.325400e-07	2.076102e-08
3.465625e+01	4.363285e-07	2.074853e-08
3.468750e+01	4.369988e-07	2.073607e-08
3.471875e+01	4.343367e-07	2.072363e-08
3.475000e+01	4.338880e-07	2.071120e-08
3.478125e+01	4.351015e-07	2.069879e-08
3.481250e+01	4.387182e-07	2.068640e-08
3.484375e+01	4.403625e-07	2.067403e-08
3.487500e+01	4.245860e-07	2.066168e-08
3.490625e+01	4.264330e-07	2.064935e-08
3.493750e+01	4.201265e-07	2.063703e-08
3.496875e+01	4.239257e-07	2.062474e-08
3.500000e+01	1.481744e-06	2.061246e-08
3.503125e+01	4.499272e-07	2.060020e-08
3.506250e+01	4.463488e-07	2.058795e-08
3.509375e+01	4.340319e-07	2.057573e-08
3.512500e+01	4.196547e-07	2.056353e-08
3.515625e+01	4.328751e-07	2.055134e-08
3.518750e+01	4.304411e-07	2.053917e-08
